,
Flower,10.027651373042062
Bird,13.826436887982297
Lions,12.182277322118274
Rhino,25.007718518141516
Queen,13.38577353107087
Crab,29.090229632180865
Ship,13.682646042172673
Para,14.734773304587572
Sail,13.847562299136932
Fish,13.465145190716076
Tree,33.5347616011913
Ocean,26.11549784475684
Lung,27.76611073545592
Bear,19.678658175461287
TV,31.37924878851911
Sun,22.12523651652109
Taichi,32.82067617907798
Wave,27.38510155734892
Astro,31.529481894385167
Whale,29.006737289433083
Bagua-T,22.579375818444618
Lotus-T,15.889926917107443
Lion-T,23.47107613514012
Panda-T,22.380428901423233
Cloud-T,22.7367446700566
Bagua-R,15.220151959107332
Lotus-R,12.668922052334128
Lion-R,17.74467551154745
Panda-R,17.317351645441963
Cloud-R,16.951053882495152
